-0.2,-0.007
1.1,-0.005
2.,-0.036
3.,-0.045
4.,-0.15
5.,-0.175
5.9,-0.19
7.,-0.171
8.,-0.113
9.,-0.184
10.,-0.139
11.,-0.181
12.,-0.154
13.,-0.057
14.,-0.131
15.,-0.373
16.,0.693
16.5,0.948
17.,1.088
17.5,1.205
18.,1.248
18.5,1.359
19.,1.376
19.5,1.391
20.,1.389
20.5,1.367
21.,1.349
21.5,1.289
21.9,1.251
22.5,1.156
23.,1.064
23.5,0.948
24.,0.857
24.5,0.733
25.,0.682
26.,1.025
26.5,1.569
27.,2.071
27.5,2.726
28.,3.274
28.5,3.897
29.,4.394
29.5,4.851
30.,5.156
30.3,5.373
30.5,5.437
30.8,5.464
31.1,5.565
31.5,5.455
31.8,5.277
32.1,5.075
32.5,4.931
33.,4.572
33.5,4.102
34.,3.478
34.5,2.898
35.,2.281
35.5,1.7
36.,1.29
36.5,1.015
36.8,0.974
36.9,1.143
37.1,1.367
37.3,1.81
37.9,3.455
38.2,4.432
38.4,5.288
38.7,6.336
39.,7.521
39.5,9.404
40.,10.929
40.5,12.566
41.,13.688
41.5,14.571
41.7,14.746
41.8,14.953
42.,15.095
42.2,15.128
42.4,15.229
42.5,15.165
42.6,15.127
42.7,15.219
42.8,15.24
42.9,15.17
43.,15.092
43.2,14.89
43.4,14.619
43.6,14.388
44.,13.491
44.5,12.089
44.9,10.621
45.5,8.684
46.,6.613
46.7,4.146
47.,3.19
47.5,1.949
47.9,1.222
48.,1.203
48.1,1.238
48.2,1.31
48.3,1.422
48.4,1.675
48.5,1.817
49.,3.908
49.5,6.661
50.,10.474
50.5,14.697
51.,17.782
51.5,21.517
52.,24.871
53.,29.208
53.3,30.005
53.4,30.17
53.5,30.379
53.6,30.52
53.7,30.64
53.8,30.755
53.9,30.816
54.,30.848
54.1,30.939
54.2,30.958
54.3,30.976
54.4,30.892
54.5,30.831
54.6,30.755
54.7,30.68
54.8,30.495
54.9,30.296
55.,30.017
55.1,29.774
55.2,29.389
55.3,29.139
55.4,28.775
55.5,28.559
56.,26.282
56.5,23.502
57.,19.964
57.5,16.498
58.,12.661
58.5,8.952
59.,6.071
59.5,3.738
59.7,3.291
59.8,3.145
59.9,3.206
60.,3.325
60.1,3.434
60.2,3.662
60.3,3.948
60.4,4.552
60.4,4.953
61.,8.704
61.5,13.779
62.,18.714
62.4,23.987
63.,29.609
63.5,34.259
64.,38.731
64.5,42.079
64.8,42.865
64.9,43.49
65.,43.885
65.1,44.298
65.3,44.719
65.5,45.391
65.6,45.572
65.7,45.742
65.8,45.916
66.,46.121
66.1,46.127
66.2,46.197
66.3,46.195
66.4,46.148
66.5,46.061
66.6,45.956
66.7,45.815
66.8,45.518
66.9,45.245
67.,44.978
67.1,44.617
67.2,44.236
67.3,43.868
67.4,43.624
67.5,43.31
68.,40.416
68.5,36.93
69.,32.258
69.5,27.443
70.,22.986
70.5,17.784
71.,13.554
71.5,10.736
71.7,10.07
71.8,10.06
71.9,10.01
72.,10.241
72.1,10.514
72.2,10.797
72.3,11.318
72.4,11.878
72.5,12.693
73.,15.799
73.5,20.811
74.,26.316
74.5,32.029
75.,37.693
75.5,43.588
76.,48.281
76.5,52.43
77.,55.428
77.1,55.959
77.2,56.457
77.3,57.003
77.4,57.486
77.5,57.702
77.6,58.12
77.7,58.182
77.8,58.414
77.9,58.648
78.,58.884
78.1,59.026
78.2,59.223
78.3,59.337
78.3,59.402
78.4,59.422
78.5,59.47
78.6,59.518
78.7,59.453
78.8,59.427
78.9,59.343
79.,59.189
79.1,58.903
79.2,58.713
79.3,58.506
79.4,58.218
79.5,57.828
80.,55.51
80.5,52.563
81.,48.712
81.5,43.724
82.,39.137
82.5,33.918
83.,28.477
83.5,24.5
84.,22.384
84.5,22.183
84.6,22.604
84.7,22.912
84.8,23.349
84.9,24.017
85.,24.824
